Word,PartsOfSpeech,Meaning
Abaca,n.,"The Manila-hemp plant (Musa textilis); also, its fiber. See Manila hemp under Manila."
Aback,adv.,Toward the back or rear; backward.
Abaci,pl. ,of Abacus
Abada,n.,The rhinoceros.
Abaft,prep.,"Behind; toward the stern from; as, abaft the wheelhouse."
Aband,v. t.,To abandon.
Abase,a.,"To lower or depress; to throw or cast down; as, to abase the eye."
Abash,v. t.,"To destroy the self-possession of; to confuse or confound, as by exciting suddenly a consciousness of guilt, mistake, or inferiority; to put to shame; to disconcert; to discomfit."
Abate,v. t.,To beat down; to overthrow.
Abbey,n.,"A monastery or society of persons of either sex, secluded from the world and devoted to religion and celibacy; also, the monastic building or buildings."
Abbot,n.,The superior or head of an abbey.
A B C,,"The first three letters of the alphabet, used for the whole alphabet."
Abdal,n.,A religious devotee or dervish in Persia.
Abeam,adv.,"On the beam, that is, on a line which forms a right angle with the ship's keel; opposite to the center of the ship's side."
Abear,v. t.,To bear; to behave.
Abele,n.,The white poplar (Populus alba).
Aberr,v. i.,To wander; to stray.
Abhal,n.,The berries of a species of cypress in the East Indies.
Abhor,v. t.,To shrink back with shuddering from; to regard with horror or detestation; to feel excessive repugnance toward; to detest to extremity; to loathe.
Abode,imp. & p. p.,of Abide
Abide,v. i.,To wait; to pause; to delay.
Abies,n.,"A genus of coniferous trees, properly called Fir, as the balsam fir and the silver fir. The spruces are sometimes also referred to this genus."
Abime,n.,Alt. of Abyme
Abyme,n.,A abyss.
Abler,a.,comp. of Able.
Ablet,,Alt. of Ablen
Ablen,,A small fresh-water fish (Leuciscus alburnus); the bleak.
Abnet,n.,The girdle of a Jewish priest or officer.
Aboma,n.,A large South American serpent (Boa aboma).
Aboon,prep.,and adv. Above.
Abord,n.,Manner of approaching or accosting; address.
Abort,v. i.,To miscarry; to bring forth young prematurely.
About,prep.,Around; all round; on every side of.
Above,prep.,In or to a higher place; higher than; on or over the upper surface; over; -- opposed to below or beneath.
Abray,v.,See Abraid.
Absis,n.,See Apsis.
Abuna,n.,"The Patriarch, or head of the Abyssinian Church."
Abuse,v. t.,"To put to a wrong use; to misapply; to misuse; to put to a bad use; to use for a wrong purpose or end; to pervert; as, to abuse inherited gold; to make an excessive use of; as, to abuse one's authority."
Abuzz,a.,In a buzz; buzzing.
Abysm,n.,An abyss; a gulf.
Abyss,n.,"A bottomless or unfathomed depth, gulf, or chasm; hence, any deep, immeasurable, and, specifically, hell, or the bottomless pit."
Acari,pl. ,of Acarus
Accoy,v. t.,To render quiet; to soothe.
Acerb,a.,"Sour, bitter, and harsh to the taste, as unripe fruit; sharp and harsh."
Ached,imp. & p. p.,of Ache
Acini,pl. ,of Acinus
Acock,adv.,In a cocked or turned up fashion.
Acold,a.,Cold.
Acorn,n.,"The fruit of the oak, being an oval nut growing in a woody cup or cupule."
Acred,a.,"Possessing acres or landed property; -- used in composition; as, large-acred men."
Acrid,a.,"Sharp and harsh, or bitter and not, to the taste; pungent; as, acrid salts."
Acted,imp. & p. p.,of Act
Acton,n.,"A stuffed jacket worn under the mail, or (later) a jacket plated with mail."
Actor,n.,"One who acts, or takes part in any affair; a doer."
Acute,a.,"Sharp at the end; ending in a sharp point; pointed; -- opposed to blunt or obtuse; as, an acute angle; an acute leaf."
Adact,v. t.,To compel; to drive.
Adage,n.,"An old saying, which has obtained credit by long use; a proverb."
Adapt,a.,Fitted; suited.
Adays,adv.,"By day, or every day; in the daytime."
Added,imp. & p. p.,of Add
Addax,n.,"One of the largest African antelopes (Hippotragus, / Oryx, nasomaculatus)."
Adder,n.,"One who, or that which, adds; esp., a machine for adding numbers."
Addle,n.,Liquid filth; mire.
Adeem,v. t.,"To revoke, as a legacy, grant, etc., or to satisfy it by some other gift."
Aden-,,Alt. of Adeno-
Adeps,n.,Animal fat; lard.
Adept,n.,"One fully skilled or well versed in anything; a proficient; as, adepts in philosophy."
Adieu,interj. & adv.,Good-by; farewell; an expression of kind wishes at parting.
Admit,v. t.,"To suffer to enter; to grant entrance, whether into a place, or into the mind, or consideration; to receive; to take; as, they were into his house; to admit a serious thought into the mind; to admit evidence in the trial of a cause."
Admix,v. t.,To mingle with something else; to mix.
